評論編號,日期,星等,評論內容,店家是否已回覆
R068,2025-08-08,4,價格佛心，份量又足，附近上班族的救星。,否
R034,2025-08-10,5,在地二十年的味道，帶朋友來都說讚。,否
R032,2025-08-11,3,味道可以，但座位太少，要站著等。,否
R010,2025-08-13,2,尖峰時段完全沒人理，站在旁邊很久都沒人點餐。,否
R063,2025-08-13,3,麵線偏鹹了一點，其他都好。,否
R011,2025-08-15,4,滷味入味，滷蛋特別好吃。,否
R054,2025-08-15,3,東西好吃，可惜停車不方便。,否
R030,2025-08-20,4,麵線湯頭很夠味，蚵仔也很新鮮，會再來。,否
R057,2025-08-28,5,外帶包裝有用心，湯不會漏。,否
R039,2025-08-30,5,早上七點就有得吃，對要早起的人真的很方便。,否
R059,2025-09-05,4,店面雖然小，但很乾淨。,否
R019,2025-09-11,2,等了 50 分鐘才上菜，問了三次店員都說快好了。,否
R040,2025-10-09,2,這次的蚵仔感覺不太新鮮，有點失望。,是
R024,2025-10-17,4,價格佛心，份量又足，附近上班族的救星。,否
R004,2025-10-19,4,早上七點就有得吃，對要早起的人真的很方便。,否
R033,2025-11-03,4,價格佛心，份量又足，附近上班族的救星。,否
R013,2025-11-07,3,還不錯，但尖峰時間要等有點久。,否
R020,2025-11-10,5,店面雖然小，但很乾淨。,否
R023,2025-11-11,1,這次的蚵仔感覺不太新鮮，有點失望。,是
R056,2025-11-21,3,味道可以，但座位太少，要站著等。,否
R015,2025-11-22,5,價格佛心，份量又足，附近上班族的救星。,否
R021,2025-11-22,3,東西好吃，可惜停車不方便。,否
R003,2025-11-25,1,尖峰時段完全沒人理，站在旁邊很久都沒人點餐。,否
R006,2025-11-25,4,香腸烤得剛剛好，外皮脆內裡多汁。,否
R048,2025-12-04,4,價格佛心，份量又足，附近上班族的救星。,否
R049,2025-12-05,5,紅茶不會太甜，配麵線剛好。,否
R035,2025-12-11,5,在地二十年的味道，帶朋友來都說讚。,否
R005,2025-12-13,4,香腸烤得剛剛好，外皮脆內裡多汁。,否
R070,2025-12-16,1,這次的蚵仔感覺不太新鮮，有點失望。,否
R012,2025-12-20,5,早上七點就有得吃，對要早起的人真的很方便。,否
R051,2025-12-27,5,滷味入味，滷蛋特別好吃。,否
R041,2025-12-30,5,早上七點就有得吃，對要早起的人真的很方便。,否
R053,2025-12-30,2,等了 50 分鐘才上菜，問了三次店員都說快好了。,否
R067,2025-12-30,3,東西好吃，可惜停車不方便。,否
R031,2026-01-11,5,老闆很親切，會記得我上次點什麼，很有人情味。,否
R058,2026-01-11,3,還不錯，但尖峰時間要等有點久。,否
R022,2026-02-04,3,還不錯，但尖峰時間要等有點久。,否
R047,2026-02-10,3,東西好吃，可惜停車不方便。,否
R064,2026-02-10,5,早上七點就有得吃，對要早起的人真的很方便。,否
R017,2026-02-20,4,價格佛心，份量又足，附近上班族的救星。,否
R055,2026-02-25,5,早上七點就有得吃，對要早起的人真的很方便。,否
R036,2026-03-02,2,這次的蚵仔感覺不太新鮮，有點失望。,否
R069,2026-03-02,5,滷味入味，滷蛋特別好吃。,否
R072,2026-03-27,5,紅茶不會太甜，配麵線剛好。,否
R025,2026-04-03,5,店面雖然小，但很乾淨。,否
R026,2026-04-13,5,價格佛心，份量又足，附近上班族的救星。,否
R045,2026-04-14,5,早上七點就有得吃，對要早起的人真的很方便。,否
R065,2026-04-19,5,麵線湯頭很夠味，蚵仔也很新鮮，會再來。,否
R016,2026-04-20,2,尖峰時段完全沒人理，站在旁邊很久都沒人點餐。,否
R061,2026-04-20,2,等了 50 分鐘才上菜，問了三次店員都說快好了。,是
R071,2026-04-22,4,老闆很親切，會記得我上次點什麼，很有人情味。,否
R008,2026-04-25,3,東西好吃，可惜停車不方便。,否
R060,2026-05-03,4,香腸烤得剛剛好，外皮脆內裡多汁。,否
R009,2026-05-05,5,老闆很親切，會記得我上次點什麼，很有人情味。,否
R043,2026-05-17,5,紅茶不會太甜，配麵線剛好。,否
R050,2026-05-20,5,香腸烤得剛剛好，外皮脆內裡多汁。,否
R044,2026-05-21,4,店面雖然小，但很乾淨。,否
R046,2026-06-05,5,老闆很親切，會記得我上次點什麼，很有人情味。,否
R007,2026-06-13,3,還不錯，但尖峰時間要等有點久。,否
R027,2026-06-14,2,外帶等太久，說十分鐘結果等了半小時。,否
R062,2026-06-15,5,在地二十年的味道，帶朋友來都說讚。,否
R052,2026-06-16,3,麵線偏鹹了一點，其他都好。,否
R028,2026-07-19,5,紅茶不會太甜，配麵線剛好。,否
R042,2026-07-29,3,還不錯，但尖峰時間要等有點久。,否
R001,2026-08-01,2,等了 50 分鐘才上菜，問了三次店員都說快好了。,否
R038,2026-08-09,2,現場很吵很擠，位子被別人先坐走也沒人處理。,否
R018,2026-08-10,5,香腸烤得剛剛好，外皮脆內裡多汁。,否
R002,2026-08-13,4,滷味入味，滷蛋特別好吃。,否
R014,2026-08-16,5,香腸烤得剛剛好，外皮脆內裡多汁。,否
R029,2026-08-16,3,東西好吃，可惜停車不方便。,否
R066,2026-08-16,3,還不錯，但尖峰時間要等有點久。,否
R037,2026-08-29,2,現場很吵很擠，位子被別人先坐走也沒人處理。,否
