顧客代號,加好友日期,最後消費日,距今天數,累計消費次數,平均客單價,累計消費金額,常來時段,來源,備註標籤
C001,2025-12-08,2026-08-05,25,1,120,120,早餐 07-09,店內 QR,在地長輩
C002,2025-11-05,2026-01-03,239,10,95,950,下午 14-16,外送杯貼紙,外送
C003,2026-03-29,2026-08-10,20,1,110,110,午餐 11-13,店內 QR,學生
C004,2026-07-16,2026-07-26,35,1,130,130,早餐 07-09,外送杯貼紙,在地長輩
C005,2025-07-19,2026-02-13,198,13,110,1430,早餐 07-09,店內 QR,學生
C006,2025-10-18,2026-08-01,29,2,120,240,午餐 11-13,朋友介紹,上班族
C007,2025-10-07,2026-03-23,160,21,95,1995,早餐 07-09,朋友介紹,外送
C008,2026-06-23,2026-08-06,24,1,130,130,午餐 11-13,外送杯貼紙,上班族
C009,2026-05-06,2026-08-24,6,1,150,150,午餐 11-13,外送杯貼紙,家庭
C010,2026-05-08,2026-06-29,62,18,85,1530,早餐 07-09,外送杯貼紙,在地長輩
C011,2025-08-12,2026-08-24,6,10,110,1100,早餐 07-09,外送杯貼紙,在地長輩
C012,2026-02-09,2026-02-09,202,20,130,2600,早餐 07-09,朋友介紹,外送
C013,2025-07-09,2026-07-20,41,1,105,105,下午 14-16,店內 QR,外送
C014,2026-02-10,2026-05-06,116,23,85,1955,午餐 11-13,店內 QR,家庭
C015,2026-05-28,2026-08-10,20,2,95,190,午餐 11-13,外送杯貼紙,外送
C016,2026-07-28,2026-07-28,33,10,120,1200,早餐 07-09,朋友介紹,在地長輩
C017,2026-05-27,2026-08-29,1,2,110,220,早餐 07-09,店內 QR,在地長輩
C018,2025-10-18,2026-07-25,36,2,85,170,午餐 11-13,朋友介紹,在地長輩
C019,2026-03-03,2026-03-03,180,13,110,1430,早餐 07-09,店內 QR,在地長輩
C020,2026-01-01,2026-08-08,22,2,105,210,早餐 07-09,朋友介紹,外送
C021,2026-05-14,2026-08-27,3,2,130,260,下午 14-16,店內 QR,家庭
C022,2026-06-21,2026-08-16,14,30,85,2550,午餐 11-13,外送杯貼紙,上班族
C023,2025-09-11,2026-08-11,19,3,120,360,下午 14-16,店內 QR,學生
C024,2026-02-09,2026-02-09,202,15,95,1425,下午 14-16,朋友介紹,在地長輩
C025,2026-06-15,2026-06-15,76,19,120,2280,午餐 11-13,朋友介紹,外送
C026,2026-01-04,2026-08-13,17,28,110,3080,下午 14-16,店內 QR,學生
C027,2026-07-11,2026-07-11,50,18,130,2340,午餐 11-13,店內 QR,外送
C028,2026-01-20,2026-07-26,35,2,150,300,下午 14-16,店內 QR,上班族
C029,2026-04-28,2026-08-18,12,3,130,390,午餐 11-13,店內 QR,學生
C030,2025-08-09,2026-08-27,3,1,95,95,早餐 07-09,外送杯貼紙,外送
C031,2026-05-14,2026-08-28,2,31,95,2945,早餐 07-09,朋友介紹,學生
C032,2026-06-07,2026-08-20,10,34,150,5100,午餐 11-13,店內 QR,家庭
C033,2026-06-10,2026-06-10,81,9,85,765,午餐 11-13,朋友介紹,上班族
C034,2025-09-11,2026-08-24,6,17,150,2550,下午 14-16,店內 QR,上班族
