訂單編號,日期,顧客代號,品項,數量,單價,小計,通路
O01066,2025-07-08,C095,炭烤香腸,1,40,40,內用
O01391,2025-07-19,C122,滷味拼盤,2,90,180,內用
O00866,2025-07-21,C080,炭烤香腸,1,40,40,外帶
O00900,2025-07-24,C080,滷味拼盤,1,90,90,外送平台
O00900,2025-07-24,C080,古早味紅茶,1,25,25,內用
O00735,2025-08-04,C067,蚵仔麵線,1,65,65,外帶
O00488,2025-08-07,C050,炭烤香腸,1,40,40,內用
O00894,2025-08-07,C080,炭烤香腸,2,40,80,外送平台
O00894,2025-08-07,C080,蚵仔麵線,2,65,130,外送平台
O01392,2025-08-07,C122,麻油麵線,2,85,170,內用
O01392,2025-08-07,C122,滷味拼盤,2,90,180,外帶
O00949,2025-08-09,C083,古早味紅茶,2,25,50,外帶
O00736,2025-08-11,C067,麻油麵線,1,85,85,內用
O00736,2025-08-11,C067,古早味紅茶,1,25,25,內用
O00485,2025-08-12,C050,蚵仔麵線,1,65,65,內用
O00485,2025-08-12,C050,滷味拼盤,1,90,90,外帶
O00504,2025-08-12,C050,滷味拼盤,1,90,90,外送平台
O01207,2025-08-12,C111,麻油麵線,2,85,170,外帶
O01207,2025-08-12,C111,麻油麵線,1,85,85,外帶
O01207,2025-08-12,C111,滷味拼盤,1,90,90,外送平台
O00398,2025-08-13,C040,燙青菜,2,45,90,外帶
O00398,2025-08-13,C040,燙青菜,2,45,90,外送平台
O00731,2025-08-14,C067,古早味紅茶,1,25,25,外帶
O00731,2025-08-14,C067,麻油麵線,1,85,85,外帶
O01604,2025-08-15,C140,炭烤香腸,1,40,40,外帶
O01604,2025-08-15,C140,炭烤香腸,2,40,80,外帶
O01604,2025-08-15,C140,古早味紅茶,1,25,25,外送平台
O00765,2025-08-16,C070,滷味拼盤,1,90,90,外送平台
O00765,2025-08-16,C070,燙青菜,1,45,45,外帶
O00765,2025-08-16,C070,麻油麵線,2,85,170,內用
O01260,2025-08-17,C114,古早味紅茶,2,25,50,內用
O01260,2025-08-17,C114,滷味拼盤,1,90,90,外帶
O00073,2025-08-18,C011,麻油麵線,1,85,85,外帶
O00073,2025-08-18,C011,蚵仔麵線,1,65,65,外送平台
O00073,2025-08-18,C011,麻油麵線,1,85,85,內用
O01283,2025-08-18,C114,滷味拼盤,1,90,90,外送平台
O01283,2025-08-18,C114,蚵仔麵線,1,65,65,內用
O01283,2025-08-18,C114,古早味紅茶,1,25,25,外送平台
O00724,2025-08-19,C067,滷味拼盤,1,90,90,外送平台
O00724,2025-08-19,C067,麻油麵線,1,85,85,內用
