發送日期,訊息主題,傳送對象,送達數,開封數,開封率,點擊數,兌換數,封鎖數
2025-10-26,新品：麻油麵線上市,全部好友,1063,249,23.4%,63,15,6
2025-11-27,週二公休提醒,全部好友,1271,255,20.1%,57,13,6
2025-12-30,集點卡上線，加好友送 3 點,全部好友,1211,331,27.3%,81,28,4
2026-01-26,下午時段 8 折,上班族,295,161,54.6%,56,22,0
2026-03-02,好久不見，回來送小菜,沉睡客,161,66,41.0%,13,3,0
2026-03-22,母親節限定：家庭套餐,家庭,300,157,52.3%,35,11,0
2026-04-24,颱風天照常營業,全部好友,1090,302,27.7%,76,22,5
2026-05-21,熟客專屬：第 10 次來店免費,熟客,103,44,42.7%,7,3,2
2026-06-25,學生證出示折 10 元,學生,295,154,52.2%,37,10,1
2026-07-19,外送滿 300 折 30,外送,163,66,40.5%,11,4,2
2026-08-10,中元普渡加菜組合,全部好友,1132,226,20.0%,48,19,0
2026-09-02,九月新菜單搶先看,熟客,272,103,37.9%,21,8,0
